impact_id,tap_id,tap_type_id,tap_class,month,impact_type,magnitude,observed_at,est_minutes_saved
IMP000106,TAP000225,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-06T18:24:00,34
IMP000107,TAP000232,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-18T02:41:00,34
IMP000108,TAP000237,phi_column_classification,tactical,2026-04,downstream_models_corrected,5,2026-04-18T15:21:00,34
IMP000109,TAP000240,phi_column_classification,tactical,2026-04,rework_avoided,4,2026-04-30T05:35:00,34
IMP000110,TAP000241,phi_column_classification,tactical,2026-04,rework_avoided,6,2026-04-22T19:33:00,34
IMP000111,TAP000243,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-16T01:15:00,34
IMP000112,TAP000244,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-17T22:31:00,34
IMP000113,TAP000249,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-26T05:50:00,34
IMP000114,TAP000254,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-09T21:13:00,34
IMP000115,TAP000256,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-04T07:27:00,34
IMP000116,TAP000258,phi_column_classification,tactical,2026-04,rework_avoided,5,2026-04-28T08:10:00,34
IMP000117,TAP000261,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-28T10:19:00,34
IMP000118,TAP000264,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-17T06:09:00,34
IMP000119,TAP000265,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-08T20:49:00,34
IMP000120,TAP000276,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-30T17:47:00,34
IMP000121,TAP000281,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-26T21:10:00,34
IMP000122,TAP000286,phi_column_classification,tactical,2026-04,rework_avoided,6,2026-04-23T08:08:00,34
IMP000123,TAP000288,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-06T02:50:00,34
IMP000124,TAP000297,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-20T22:05:00,34
IMP000125,TAP000298,phi_column_classification,tactical,2026-04,inconsistency_prevented,1,2026-04-25T04:28:00,34
IMP000126,TAP000303,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-21T01:05:00,34
IMP000127,TAP000304,phi_column_classification,tactical,2026-04,inconsistency_prevented,4,2026-04-21T00:02:00,34
IMP000128,TAP000308,phi_column_classification,tactical,2026-04,rework_avoided,6,2026-04-17T00:29:00,34
IMP000129,TAP000309,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-25T12:02:00,34
IMP000130,TAP000311,phi_column_classification,tactical,2026-04,rework_avoided,4,2026-04-29T11:36:00,34
IMP000131,TAP000312,phi_column_classification,tactical,2026-04,inconsistency_prevented,1,2026-04-05T01:36:00,34
IMP000132,TAP000314,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-05T12:23:00,34
IMP000133,TAP000315,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-15T13:34:00,34
IMP000134,TAP000316,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-16T23:13:00,34
IMP000135,TAP000318,phi_column_classification,tactical,2026-04,rework_avoided,5,2026-04-08T05:50:00,34
IMP000136,TAP000319,phi_column_classification,tactical,2026-04,rework_avoided,4,2026-04-19T13:10:00,34
IMP000137,TAP000320,phi_column_classification,tactical,2026-04,rework_avoided,6,2026-04-09T22:52:00,34
IMP000138,TAP000322,phi_column_classification,tactical,2026-04,inconsistency_prevented,6,2026-04-04T12:06:00,34
IMP000139,TAP000325,phi_column_classification,tactical,2026-04,inconsistency_prevented,1,2026-04-12T13:45:00,34
IMP000140,TAP000326,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-07T15:36:00,34
IMP000141,TAP000327,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-07T02:13:00,34
IMP000142,TAP000330,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-24T02:46:00,34
IMP000143,TAP000331,phi_column_classification,tactical,2026-04,inconsistency_prevented,2,2026-04-22T09:47:00,34
IMP000144,TAP000333,phi_column_classification,tactical,2026-04,rework_avoided,4,2026-04-26T14:55:00,34
IMP000145,TAP000335,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-09T22:01:00,34
IMP000146,TAP000338,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-29T02:26:00,34
IMP000147,TAP000341,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-23T01:38:00,34
IMP000148,TAP000342,phi_column_classification,tactical,2026-04,rework_avoided,4,2026-04-21T23:37:00,34
IMP000149,TAP000343,phi_column_classification,tactical,2026-04,inconsistency_prevented,1,2026-04-19T13:04:00,34
IMP000150,TAP000345,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-05T17:57:00,34
IMP000151,TAP000346,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-16T21:04:00,34
IMP000152,TAP000347,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-08T04:01:00,34
IMP000153,TAP000350,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-26T03:34:00,34
IMP000154,TAP000352,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-20T14:12:00,34
IMP000155,TAP000353,phi_column_classification,tactical,2026-04,downstream_models_corrected,2,2026-04-02T10:13:00,34
IMP000156,TAP000357,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-15T03:41:00,34
IMP000157,TAP000358,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-18T13:24:00,34
IMP000158,TAP000359,phi_column_classification,tactical,2026-04,rework_avoided,3,2026-04-21T23:33:00,34
IMP000159,TAP000361,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-18T20:17:00,34
IMP000160,TAP000363,phi_column_classification,tactical,2026-04,rework_avoided,6,2026-04-11T11:14:00,34
IMP000161,TAP000364,phi_column_classification,tactical,2026-04,inconsistency_prevented,4,2026-05-01T06:12:00,34
IMP000162,TAP000366,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-12T14:26:00,34
IMP000163,TAP000367,phi_column_classification,tactical,2026-04,rework_avoided,2,2026-04-12T05:45:00,34
IMP000164,TAP000369,phi_column_classification,tactical,2026-04,rework_avoided,1,2026-04-13T01:42:00,34
IMP000165,TAP000370,phi_column_classification,tactical,2026-04,inconsistency_prevented,5,2026-04-20T05:55:00,34
IMP000166,TAP000371,revenue_definition_change,strategic,2026-04,downstream_models_corrected,18,2026-04-20T19:21:00,390
IMP000167,TAP000373,revenue_definition_change,strategic,2026-04,inconsistency_prevented,1,2026-04-27T00:14:00,390
IMP000168,TAP000374,revenue_definition_change,strategic,2026-04,inconsistency_prevented,1,2026-05-02T16:15:00,390
IMP000169,TAP000375,revenue_definition_change,strategic,2026-04,downstream_models_corrected,6,2026-04-06T19:45:00,390
IMP000170,TAP000376,denial_reason_classification,tactical,2026-05,rework_avoided,3,2026-05-27T11:54:00,14
IMP000171,TAP000377,denial_reason_classification,tactical,2026-05,rework_avoided,3,2026-05-25T09:29:00,14
IMP000172,TAP000378,denial_reason_classification,tactical,2026-05,rework_avoided,6,2026-05-28T14:06:00,14
IMP000173,TAP000379,denial_reason_classification,tactical,2026-05,rework_avoided,3,2026-05-01T18:15:00,14
IMP000174,TAP000380,denial_reason_classification,tactical,2026-05,rework_avoided,2,2026-05-05T12:29:00,14
IMP000175,TAP000381,denial_reason_classification,tactical,2026-05,rework_avoided,1,2026-05-07T16:22:00,14
IMP000176,TAP000386,denial_reason_classification,tactical,2026-05,rework_avoided,2,2026-05-11T13:11:00,14
IMP000177,TAP000387,denial_reason_classification,tactical,2026-05,rework_avoided,1,2026-05-02T15:55:00,14
IMP000178,TAP000390,encounter_type_mapping,tactical,2026-05,inconsistency_prevented,5,2026-05-16T16:28:00,26
IMP000179,TAP000392,encounter_type_mapping,tactical,2026-05,rework_avoided,2,2026-05-04T15:27:00,26
IMP000180,TAP000393,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-04T15:15:00,34
IMP000181,TAP000397,phi_column_classification,tactical,2026-05,rework_avoided,6,2026-05-27T11:02:00,34
IMP000182,TAP000398,phi_column_classification,tactical,2026-05,rework_avoided,5,2026-05-30T18:56:00,34
IMP000183,TAP000399,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-22T12:37:00,34
IMP000184,TAP000403,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-14T07:29:00,34
IMP000185,TAP000405,phi_column_classification,tactical,2026-05,inconsistency_prevented,3,2026-05-29T12:44:00,34
IMP000186,TAP000407,phi_column_classification,tactical,2026-05,downstream_models_corrected,6,2026-05-21T06:24:00,34
IMP000187,TAP000409,phi_column_classification,tactical,2026-05,downstream_models_corrected,3,2026-05-24T19:06:00,34
IMP000188,TAP000410,phi_column_classification,tactical,2026-05,inconsistency_prevented,3,2026-05-24T06:39:00,34
IMP000189,TAP000413,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-26T06:03:00,34
IMP000190,TAP000414,phi_column_classification,tactical,2026-05,rework_avoided,5,2026-05-25T08:37:00,34
IMP000191,TAP000416,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-15T07:59:00,34
IMP000192,TAP000420,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-07T23:50:00,34
IMP000193,TAP000423,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-29T18:54:00,34
IMP000194,TAP000424,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-06-01T20:30:00,34
IMP000195,TAP000427,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-16T10:18:00,34
IMP000196,TAP000434,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-12T07:51:00,34
IMP000197,TAP000435,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-09T16:47:00,34
IMP000198,TAP000436,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-16T03:22:00,34
IMP000199,TAP000437,phi_column_classification,tactical,2026-05,inconsistency_prevented,5,2026-05-16T04:07:00,34
IMP000200,TAP000438,phi_column_classification,tactical,2026-05,rework_avoided,6,2026-05-23T01:12:00,34
IMP000201,TAP000439,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-15T17:38:00,34
IMP000202,TAP000443,phi_column_classification,tactical,2026-05,inconsistency_prevented,1,2026-05-09T10:46:00,34
IMP000203,TAP000444,phi_column_classification,tactical,2026-05,inconsistency_prevented,3,2026-05-15T16:54:00,34
IMP000204,TAP000445,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-16T06:58:00,34
IMP000205,TAP000447,phi_column_classification,tactical,2026-05,inconsistency_prevented,5,2026-05-30T09:29:00,34
IMP000206,TAP000448,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-23T16:48:00,34
IMP000207,TAP000449,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-16T22:10:00,34
IMP000208,TAP000451,phi_column_classification,tactical,2026-05,downstream_models_corrected,1,2026-05-04T07:31:00,34
IMP000209,TAP000459,phi_column_classification,tactical,2026-05,rework_avoided,4,2026-05-15T17:59:00,34
IMP000210,TAP000463,phi_column_classification,tactical,2026-05,inconsistency_prevented,6,2026-05-20T11:27:00,34
IMP000211,TAP000464,phi_column_classification,tactical,2026-05,inconsistency_prevented,3,2026-05-04T15:39:00,34
IMP000212,TAP000465,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-27T16:00:00,34
IMP000213,TAP000466,phi_column_classification,tactical,2026-05,rework_avoided,4,2026-05-11T14:12:00,34
IMP000214,TAP000467,phi_column_classification,tactical,2026-05,downstream_models_corrected,3,2026-05-17T18:57:00,34
IMP000215,TAP000471,phi_column_classification,tactical,2026-05,downstream_models_corrected,6,2026-05-27T04:26:00,34
IMP000216,TAP000474,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-03T17:58:00,34
IMP000217,TAP000479,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-10T05:57:00,34
IMP000218,TAP000481,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-22T15:08:00,34
IMP000219,TAP000484,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-06-01T23:47:00,34
IMP000220,TAP000487,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-15T00:21:00,34
IMP000221,TAP000489,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-12T14:40:00,34
IMP000222,TAP000490,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-04T17:39:00,34
IMP000223,TAP000492,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-29T14:25:00,34
IMP000224,TAP000494,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-25T01:38:00,34
IMP000225,TAP000495,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-16T22:54:00,34
IMP000226,TAP000497,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-06T09:37:00,34
IMP000227,TAP000499,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-26T08:31:00,34
IMP000228,TAP000504,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-23T23:03:00,34
IMP000229,TAP000505,phi_column_classification,tactical,2026-05,inconsistency_prevented,1,2026-05-09T17:30:00,34
IMP000230,TAP000506,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-20T22:01:00,34
IMP000231,TAP000511,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-17T19:05:00,34
IMP000232,TAP000512,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-10T22:47:00,34
IMP000233,TAP000514,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-19T08:49:00,34
IMP000234,TAP000515,phi_column_classification,tactical,2026-05,rework_avoided,5,2026-05-13T05:01:00,34
IMP000235,TAP000517,phi_column_classification,tactical,2026-05,rework_avoided,4,2026-05-26T19:23:00,34
IMP000236,TAP000518,phi_column_classification,tactical,2026-05,rework_avoided,2,2026-05-15T03:12:00,34
IMP000237,TAP000521,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-27T18:24:00,34
IMP000238,TAP000524,phi_column_classification,tactical,2026-05,rework_avoided,5,2026-05-26T07:32:00,34
IMP000239,TAP000528,phi_column_classification,tactical,2026-05,inconsistency_prevented,5,2026-05-06T09:14:00,34
IMP000240,TAP000532,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-22T12:50:00,34
IMP000241,TAP000533,phi_column_classification,tactical,2026-05,inconsistency_prevented,3,2026-05-26T15:01:00,34
IMP000242,TAP000540,phi_column_classification,tactical,2026-05,inconsistency_prevented,3,2026-05-06T09:18:00,34
IMP000243,TAP000543,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-20T22:54:00,34
IMP000244,TAP000547,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-10T07:11:00,34
IMP000245,TAP000548,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-06T20:31:00,34
IMP000246,TAP000551,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-27T16:55:00,34
IMP000247,TAP000552,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-23T16:24:00,34
IMP000248,TAP000553,phi_column_classification,tactical,2026-05,rework_avoided,1,2026-05-04T14:51:00,34
IMP000249,TAP000555,phi_column_classification,tactical,2026-05,rework_avoided,3,2026-05-24T15:04:00,34
IMP000250,TAP000556,phi_column_classification,tactical,2026-05,downstream_models_corrected,6,2026-05-20T12:47:00,34
IMP000251,TAP000559,phi_column_classification,tactical,2026-05,rework_avoided,4,2026-05-28T00:31:00,34
IMP000252,TAP000564,phi_column_classification,tactical,2026-05,rework_avoided,4,2026-05-31T13:02:00,34
IMP000253,TAP000565,revenue_definition_change,strategic,2026-05,inconsistency_prevented,26,2026-05-21T11:04:00,390
IMP000254,TAP000566,revenue_definition_change,strategic,2026-05,inconsistency_prevented,2,2026-05-29T17:36:00,390
IMP000255,TAP000567,revenue_definition_change,strategic,2026-05,incident_avoided,6,2026-05-13T21:14:00,390
IMP000256,TAP000568,revenue_definition_change,strategic,2026-05,inconsistency_prevented,6,2026-05-15T21:28:00,390
